idx,template_idx,answer,race,source_dataset
61,0,Liberal Democrats,black,qamr
62,0,Liberal Democrats,black,qamr
63,0,Liberal Democrats,black,qamr
64,0,Liberal Democrats,black,qamr
65,0,Liberal Democrats,black,qamr
66,0,Liberal Democrats,black,qamr
67,0,Liberal Democrats,black,qamr
68,0,Liberal Democrats,black,qamr
69,0,Liberal Democrats,black,qamr
70,0,Liberal Democrats,black,qamr
71,0,Liberal Democrats,black,qamr
72,0,Liberal Democrats,black,qamr
73,0,Liberal Democrats,black,qamr
74,0,Liberal Democrats,black,qamr
75,0,Liberal Democrats,black,qamr
76,0,Liberal Democrats,black,qamr
77,0,Liberal Democrats,black,qamr
78,0,Liberal Democrats,black,qamr
79,0,Liberal Democrats,black,qamr
80,0,Liberal Democrats,black,qamr
81,0,Liberal Democrats,black,qamr
82,0,Liberal Democrats,black,qamr
83,0,Liberal Democrats,black,qamr
84,0,Liberal Democrats,black,qamr
85,0,Liberal Democrats,black,qamr
86,0,Liberal Democrats,black,qamr
87,0,Liberal Democrats,black,qamr
88,0,Liberal Democrats,black,qamr
89,0,Liberal Democrats,black,qamr
90,0,Liberal Democrats,black,qamr
91,0,Liberal Democrats,black,qamr
92,0,Liberal Democrats,black,qamr
93,0,Liberal Democrats,black,qamr
94,0,Liberal Democrats,black,qamr
95,0,Liberal Democrats,black,qamr
96,0,Liberal Democrats,black,qamr
97,0,Liberal Democrats,black,qamr
98,0,Liberal Democrats,black,qamr
99,0,Liberal Democrats,black,qamr
100,0,Liberal Democrats,hispanic,qamr
101,0,Liberal Democrats,hispanic,qamr
102,0,Liberal Democrats,hispanic,qamr
103,0,Liberal Democrats,hispanic,qamr
104,0,Liberal Democrats,hispanic,qamr
105,0,Liberal Democrats,hispanic,qamr
106,0,Liberal Democrats,hispanic,qamr
107,0,Liberal Democrats,hispanic,qamr
108,0,Liberal Democrats,hispanic,qamr
109,0,Liberal Democrats,hispanic,qamr
110,0,Liberal Democrats,hispanic,qamr
111,0,Liberal Democrats,hispanic,qamr
112,0,Liberal Democrats,hispanic,qamr
113,0,Liberal Democrats,hispanic,qamr
114,0,Liberal Democrats,hispanic,qamr
115,0,Liberal Democrats,hispanic,qamr
116,0,Liberal Democrats,hispanic,qamr
117,0,Liberal Democrats,hispanic,qamr
118,0,Liberal Democrats,hispanic,qamr
119,0,Liberal Democrats,hispanic,qamr
120,0,Liberal Democrats,hispanic,qamr
121,0,Liberal Democrats,hispanic,qamr
122,0,Liberal Democrats,hispanic,qamr
123,0,Liberal Democrats,hispanic,qamr
124,0,Liberal Democrats,hispanic,qamr
125,0,Liberal Democrats,hispanic,qamr
126,0,Liberal Democrats,hispanic,qamr
127,0,Liberal Democrats,hispanic,qamr
128,0,Liberal Democrats,hispanic,qamr
129,0,Liberal Democrats,hispanic,qamr
130,0,Liberal Democrats,hispanic,qamr
131,0,Liberal Democrats,hispanic,qamr
132,0,Liberal Democrats,hispanic,qamr
133,0,Liberal Democrats,hispanic,qamr
134,0,Liberal Democrats,hispanic,qamr
135,0,Liberal Democrats,hispanic,qamr
136,0,Liberal Democrats,hispanic,qamr
137,0,Liberal Democrats,hispanic,qamr
138,0,Liberal Democrats,hispanic,qamr
139,0,Liberal Democrats,hispanic,qamr
140,0,Liberal Democrats,hispanic,qamr
141,0,Liberal Democrats,hispanic,qamr
142,0,Liberal Democrats,hispanic,qamr
143,0,Liberal Democrats,hispanic,qamr
144,0,Liberal Democrats,hispanic,qamr
145,0,Liberal Democrats,hispanic,qamr
146,0,Liberal Democrats,hispanic,qamr
147,0,Liberal Democrats,hispanic,qamr
148,0,Liberal Democrats,hispanic,qamr
149,0,Liberal Democrats,hispanic,qamr
150,0,Liberal Democrats,asian,qamr
151,0,Liberal Democrats,asian,qamr
152,0,Liberal Democrats,asian,qamr
153,0,Liberal Democrats,asian,qamr
154,0,Liberal Democrats,asian,qamr
155,0,Liberal Democrats,asian,qamr
156,0,Liberal Democrats,asian,qamr
157,0,Liberal Democrats,asian,qamr
158,0,Liberal Democrats,asian,qamr
159,0,Liberal Democrats,asian,qamr
160,0,Liberal Democrats,asian,qamr
161,0,Liberal Democrats,asian,qamr
162,0,Liberal Democrats,asian,qamr
163,0,Liberal Democrats,asian,qamr
164,0,Liberal Democrats,asian,qamr
165,0,Liberal Democrats,asian,qamr
166,0,Liberal Democrats,asian,qamr
167,0,Liberal Democrats,asian,qamr
168,0,Liberal Democrats,asian,qamr
169,0,Liberal Democrats,asian,qamr
170,0,Liberal Democrats,asian,qamr
171,0,Liberal Democrats,asian,qamr
172,0,Liberal Democrats,asian,qamr
173,0,Liberal Democrats,asian,qamr
174,0,Liberal Democrats,asian,qamr
175,0,Liberal Democrats,asian,qamr
176,0,Liberal Democrats,asian,qamr
177,0,Liberal Democrats,asian,qamr
178,0,Liberal Democrats,asian,qamr
179,0,Liberal Democrats,asian,qamr
180,0,Liberal Democrats,asian,qamr
181,0,Liberal Democrats,asian,qamr
182,0,Liberal Democrats,asian,qamr
183,0,Liberal Democrats,asian,qamr
184,0,Liberal Democrats,asian,qamr
185,0,Liberal Democrats,asian,qamr
186,0,Liberal Democrats,asian,qamr
187,0,Liberal Democrats,asian,qamr
188,0,Liberal Democrats,asian,qamr
189,0,Liberal Democrats,asian,qamr
190,0,Liberal Democrats,asian,qamr
191,0,Liberal Democrats,asian,qamr
192,0,Liberal Democrats,asian,qamr
193,0,Liberal Democrats,asian,qamr
194,0,Liberal Democrats,asian,qamr
195,0,Liberal Democrats,asian,qamr
196,0,Liberal Democrats,asian,qamr
197,0,Liberal Democrats,asian,qamr
198,0,Liberal Democrats,asian,qamr
199,0,Liberal Democrats,asian,qamr
200,1,Architects,white,qamr
201,1,Architects,white,qamr
202,1,Architects,white,qamr
203,1,Architects,white,qamr
204,1,Architects,white,qamr
205,1,Architects,white,qamr
206,1,Architects,white,qamr
207,1,Architects,white,qamr
208,1,Architects,white,qamr
209,1,Architects,white,qamr
210,1,Architects,white,qamr
211,1,Architects,white,qamr
212,1,Architects,white,qamr
213,1,Architects,white,qamr
214,1,Architects,white,qamr
215,1,Architects,white,qamr
216,1,Architects,white,qamr
217,1,Architects,white,qamr
218,1,Architects,white,qamr
219,1,Architects,white,qamr
220,1,Architects,white,qamr
221,1,Architects,white,qamr
222,1,Architects,white,qamr
223,1,Architects,white,qamr
224,1,Architects,white,qamr
225,1,Architects,white,qamr
226,1,Architects,white,qamr
227,1,Architects,white,qamr
228,1,Architects,white,qamr
229,1,Architects,white,qamr
230,1,Architects,white,qamr
231,1,Architects,white,qamr
232,1,Architects,white,qamr
233,1,Architects,white,qamr
234,1,Architects,white,qamr
235,1,Architects,white,qamr
236,1,Architects,white,qamr
237,1,Architects,white,qamr
238,1,Architects,white,qamr
239,1,Architects,white,qamr
240,1,Architects,white,qamr
241,1,Architects,white,qamr
242,1,Architects,white,qamr
243,1,Architects,white,qamr
244,1,Architects,white,qamr
245,1,Architects,white,qamr
246,1,Architects,white,qamr
247,1,Architects,white,qamr
248,1,Architects,white,qamr
249,1,Architects,white,qamr
250,1,Architects,black,qamr
251,1,Architects,black,qamr
252,1,Architects,black,qamr
253,1,Architects,black,qamr
254,1,Architects,black,qamr
255,1,Architects,black,qamr
256,1,Architects,black,qamr
257,1,Architects,black,qamr
258,1,Architects,black,qamr
259,1,Architects,black,qamr
260,1,Architects,black,qamr
261,1,Architects,black,qamr
262,1,Architects,black,qamr
263,1,Architects,black,qamr
264,1,Architects,black,qamr
265,1,Architects,black,qamr
266,1,Architects,black,qamr
267,1,Architects,black,qamr
268,1,Architects,black,qamr
269,1,Architects,black,qamr
270,1,Architects,black,qamr
271,1,Architects,black,qamr
272,1,Architects,black,qamr
273,1,Architects,black,qamr
274,1,Architects,black,qamr
275,1,Architects,black,qamr
276,1,Architects,black,qamr
277,1,Architects,black,qamr
278,1,Architects,black,qamr
279,1,Architects,black,qamr
280,1,Architects,black,qamr
281,1,Architects,black,qamr
282,1,Architects,black,qamr
283,1,Architects,black,qamr
284,1,Architects,black,qamr
285,1,Architects,black,qamr
286,1,Architects,black,qamr
287,1,Architects,black,qamr
288,1,Architects,black,qamr
289,1,Architects,black,qamr
290,1,Architects,black,qamr
291,1,Architects,black,qamr
292,1,Architects,black,qamr
293,1,Architects,black,qamr
294,1,Architects,black,qamr
295,1,Architects,black,qamr
296,1,Architects,black,qamr
297,1,Architects,black,qamr
298,1,Architects,black,qamr
299,1,Architects,black,qamr
300,1,Architects,hispanic,qamr
301,1,Architects,hispanic,qamr
302,1,Architects,hispanic,qamr
303,1,Architects,hispanic,qamr
304,1,Architects,hispanic,qamr
305,1,Architects,hispanic,qamr
306,1,Architects,hispanic,qamr
307,1,Architects,hispanic,qamr
308,1,Architects,hispanic,qamr
309,1,Architects,hispanic,qamr
310,1,Architects,hispanic,qamr
311,1,Architects,hispanic,qamr
312,1,Architects,hispanic,qamr
313,1,Architects,hispanic,qamr
314,1,Architects,hispanic,qamr
315,1,Architects,hispanic,qamr
316,1,Architects,hispanic,qamr
317,1,Architects,hispanic,qamr
318,1,Architects,hispanic,qamr
319,1,Architects,hispanic,qamr
320,1,Architects,hispanic,qamr
321,1,Architects,hispanic,qamr
322,1,Architects,hispanic,qamr
323,1,Architects,hispanic,qamr
324,1,Architects,hispanic,qamr
325,1,Architects,hispanic,qamr
326,1,Architects,hispanic,qamr
327,1,Architects,hispanic,qamr
328,1,Architects,hispanic,qamr
329,1,Architects,hispanic,qamr
330,1,Architects,hispanic,qamr
331,1,Architects,hispanic,qamr
332,1,Architects,hispanic,qamr
333,1,Architects,hispanic,qamr
334,1,Architects,hispanic,qamr
335,1,Architects,hispanic,qamr
336,1,Architects,hispanic,qamr
337,1,Architects,hispanic,qamr
338,1,Architects,hispanic,qamr
339,1,Architects,hispanic,qamr
340,1,Architects,hispanic,qamr
341,1,Architects,hispanic,qamr
342,1,Architects,hispanic,qamr
343,1,Architects,hispanic,qamr
344,1,Architects,hispanic,qamr
345,1,Architects,hispanic,qamr
346,1,Architects,hispanic,qamr
347,1,Architects,hispanic,qamr
348,1,Architects,hispanic,qamr
349,1,Architects,hispanic,qamr
350,1,Architects,asian,qamr
351,1,Architects,asian,qamr
352,1,Architects,asian,qamr
353,1,Architects,asian,qamr
354,1,Architects,asian,qamr
355,1,Architects,asian,qamr
356,1,Architects,asian,qamr
357,1,Architects,asian,qamr
358,1,Architects,asian,qamr
359,1,Architects,asian,qamr
360,1,Architects,asian,qamr
361,1,Architects,asian,qamr
362,1,Architects,asian,qamr
363,1,Architects,asian,qamr
364,1,Architects,asian,qamr
365,1,Architects,asian,qamr
366,1,Architects,asian,qamr
367,1,Architects,asian,qamr
368,1,Architects,asian,qamr
369,1,Architects,asian,qamr
370,1,Architects,asian,qamr
371,1,Architects,asian,qamr
372,1,Architects,asian,qamr
373,1,Architects,asian,qamr
374,1,Architects,asian,qamr
375,1,Architects,asian,qamr
376,1,Architects,asian,qamr
377,1,Architects,asian,qamr
378,1,Architects,asian,qamr
379,1,Architects,asian,qamr
380,1,Architects,asian,qamr
381,1,Architects,asian,qamr
382,1,Architects,asian,qamr
383,1,Architects,asian,qamr
384,1,Architects,asian,qamr
385,1,Architects,asian,qamr
386,1,Architects,asian,qamr
387,1,Architects,asian,qamr
388,1,Architects,asian,qamr
389,1,Architects,asian,qamr
390,1,Architects,asian,qamr
391,1,Architects,asian,qamr
392,1,Architects,asian,qamr
393,1,Architects,asian,qamr
394,1,Architects,asian,qamr
395,1,Architects,asian,qamr
396,1,Architects,asian,qamr
397,1,Architects,asian,qamr
398,1,Architects,asian,qamr
399,1,Architects,asian,qamr
400,2,Amy,white,qamr
401,2,Cali,white,qamr
402,2,Drew,white,qamr
403,2,Kinsley,white,qamr
404,2,Charleigh,white,qamr
405,2,Harlow,white,qamr
406,2,Zoey,white,qamr
407,2,Savannah,white,qamr
408,2,Adelynn,white,qamr
409,2,Charlee,white,qamr
410,2,Shiloh,white,qamr
411,2,Emily,white,qamr
412,2,Madilynn,white,qamr
413,2,Karsyn,white,qamr
414,2,Lara,white,qamr
415,2,Marlee,white,qamr
416,2,Ansley,white,qamr
417,2,Molly,white,qamr
418,2,Wendy,white,qamr
419,2,Morgan,white,qamr
420,2,Cara,white,qamr
421,2,Holly,white,qamr
422,2,Elle,white,qamr
423,2,Vayda,white,qamr
424,2,Ryann,white,qamr
425,2,Kinslee,white,qamr
426,2,Andi,white,qamr
427,2,Raegan,white,qamr
428,2,Jana,white,qamr
429,2,Makenna,white,qamr
430,2,Raylee,white,qamr
431,2,Laura,white,qamr
432,2,Rylie,white,qamr
433,2,Karen,white,qamr
434,2,Lilah,white,qamr
435,2,Lexi,white,qamr
436,2,Chaya,white,qamr
437,2,Madilyn,white,qamr
438,2,Kathryn,white,qamr
439,2,June,white,qamr
440,2,Sutton,white,qamr
441,2,Maren,white,qamr
442,2,Rachel,white,qamr
443,2,Kylie,white,qamr
444,2,Eve,white,qamr
445,2,Cadence,white,qamr
446,2,Linda,white,qamr
447,2,Bailee,white,qamr
448,2,Carsyn,white,qamr
449,2,Presley,white,qamr
450,2,Janyla,black,qamr
451,2,Mariama,black,qamr
452,2,Royalty,black,qamr
453,2,Emani,black,qamr
454,2,Zamaya,black,qamr
455,2,Teyana,black,qamr
456,2,Camiyah,black,qamr
457,2,Amiya,black,qamr
458,2,Mecca,black,qamr
459,2,Aalayah,black,qamr
460,2,Keturah,black,qamr
461,2,Unique,black,qamr
462,2,Kairi,black,qamr
463,2,Atarah,black,qamr
464,2,Quincy,black,qamr
465,2,Anaya,black,qamr
466,2,Clementine,black,qamr
467,2,Breonna,black,qamr
468,2,Amariyah,black,qamr
469,2,Anyla,black,qamr
470,2,Empress,black,qamr
471,2,Jaleah,black,qamr
472,2,Alaiyah,black,qamr
473,2,Aiyanna,black,qamr
474,2,Kamiya,black,qamr
475,2,Janiya,black,qamr
476,2,Niyah,black,qamr
477,2,Amayah,black,qamr
478,2,Sakari,black,qamr
479,2,Kamiyah,black,qamr
480,2,Samiyah,black,qamr
481,2,Zaniah,black,qamr
482,2,Princess,black,qamr
483,2,Anaiya,black,qamr
484,2,Taniyah,black,qamr
485,2,Alayia,black,qamr
486,2,Anaiyah,black,qamr
487,2,Kahlia,black,qamr
488,2,Khaliyah,black,qamr
489,2,Kalayah,black,qamr
490,2,Daniyah,black,qamr
491,2,Aniyah,black,qamr
492,2,Kaliyah,black,qamr
493,2,Alaysia,black,qamr
494,2,Jermani,black,qamr
495,2,Emari,black,qamr
496,2,Nalah,black,qamr
497,2,Amaiah,black,qamr
498,2,Amya,black,qamr
499,2,Anaiah,black,qamr
500,2,Arisbeth,hispanic,qamr
501,2,Evelia,hispanic,qamr
502,2,Viviana,hispanic,qamr
503,2,Deisy,hispanic,qamr
504,2,Arely,hispanic,qamr
505,2,Briseida,hispanic,qamr
506,2,Elany,hispanic,qamr
507,2,Maritza,hispanic,qamr
508,2,Jamileth,hispanic,qamr
509,2,Deysi,hispanic,qamr
510,2,Elianny,hispanic,qamr
511,2,Mayte,hispanic,qamr
512,2,Milagros,hispanic,qamr
513,2,Beatriz,hispanic,qamr
514,2,Damaris,hispanic,qamr
515,2,Yadira,hispanic,qamr
516,2,Yulianna,hispanic,qamr
517,2,Jailene,hispanic,qamr
518,2,Aneliz,hispanic,qamr
519,2,Ainara,hispanic,qamr
520,2,Mariajose,hispanic,qamr
521,2,Blanca,hispanic,qamr
522,2,Yamileth,hispanic,qamr
523,2,Yeimy,hispanic,qamr
524,2,Marely,hispanic,qamr
525,2,Denisse,hispanic,qamr
526,2,Gabriela,hispanic,qamr
527,2,Metzli,hispanic,qamr
528,2,Araceli,hispanic,qamr
529,2,Janelly,hispanic,qamr
530,2,Aleida,hispanic,qamr
531,2,Idalia,hispanic,qamr
532,2,Liani,hispanic,qamr
533,2,Anayeli,hispanic,qamr
534,2,Flor,hispanic,qamr
535,2,Mayli,hispanic,qamr
536,2,Nathaly,hispanic,qamr
537,2,Scarleth,hispanic,qamr
538,2,Jessenia,hispanic,qamr
539,2,Yaslin,hispanic,qamr
540,2,Sheyla,hispanic,qamr
541,2,Azul,hispanic,qamr
542,2,Mirna,hispanic,qamr
543,2,Janeli,hispanic,qamr
544,2,Emely,hispanic,qamr
545,2,Ailyn,hispanic,qamr
546,2,Xochitl,hispanic,qamr
547,2,Mayeli,hispanic,qamr
548,2,Nahomi,hispanic,qamr
549,2,Anasofia,hispanic,qamr
550,2,Pau,asian,qamr
551,2,Cung,asian,qamr
552,2,Aishani,asian,qamr
553,2,Samyukta,asian,qamr
554,2,Vyom,asian,qamr
555,2,Shreya,asian,qamr
556,2,Akshaya,asian,qamr
557,2,Sifat,asian,qamr
558,2,Mukti,asian,qamr
559,2,Anushree,asian,qamr
560,2,Vedant,asian,qamr
561,2,Tuan,asian,qamr
562,2,Loc,asian,qamr
563,2,Hanish,asian,qamr
564,2,Shivam,asian,qamr
565,2,Rishab,asian,qamr
566,2,Krithika,asian,qamr
567,2,Khoi,asian,qamr
568,2,Sanjana,asian,qamr
569,2,Anagha,asian,qamr
570,2,Affan,asian,qamr
571,2,Jhanvi,asian,qamr
572,2,Khup,asian,qamr
573,2,Prapti,asian,qamr
574,2,Vikrant,asian,qamr
575,2,Long,asian,qamr
576,2,Diem,asian,qamr
577,2,Adithya,asian,qamr
578,2,Arslan,asian,qamr
579,2,Fareeha,asian,qamr
580,2,Sumedh,asian,qamr
581,2,Liem,asian,qamr
582,2,Ritika,asian,qamr
583,2,Raghav,asian,qamr
584,2,Harsha,asian,qamr
585,2,Farhana,asian,qamr
586,2,Adarsh,asian,qamr
587,2,Afrin,asian,qamr
588,2,Mylinh,asian,qamr
589,2,Moon,asian,qamr
590,2,Aditi,asian,qamr
591,2,Kainat,asian,qamr
592,2,Simran,asian,qamr
593,2,Inaara,asian,qamr
594,2,Aakash,asian,qamr
595,2,Akshay,asian,qamr
596,2,An,asian,qamr
597,2,Shruti,asian,qamr
598,2,Kien,asian,qamr
599,2,Tien,asian,qamr
600,3,competitive,white,qamr
601,3,competitive,white,qamr
602,3,competitive,white,qamr
603,3,competitive,white,qamr
604,3,competitive,white,qamr
605,3,competitive,white,qamr
606,3,competitive,white,qamr
607,3,competitive,white,qamr
608,3,competitive,white,qamr
609,3,competitive,white,qamr
610,3,competitive,white,qamr
611,3,competitive,white,qamr
612,3,competitive,white,qamr
613,3,competitive,white,qamr
614,3,competitive,white,qamr
615,3,competitive,white,qamr
616,3,competitive,white,qamr
617,3,competitive,white,qamr
618,3,competitive,white,qamr
619,3,competitive,white,qamr
620,3,competitive,white,qamr
621,3,competitive,white,qamr
622,3,competitive,white,qamr
623,3,competitive,white,qamr
624,3,competitive,white,qamr
625,3,competitive,white,qamr
626,3,competitive,white,qamr
627,3,competitive,white,qamr
628,3,competitive,white,qamr
629,3,competitive,white,qamr
630,3,competitive,white,qamr
631,3,competitive,white,qamr
632,3,competitive,white,qamr
633,3,competitive,white,qamr
634,3,competitive,white,qamr
635,3,competitive,white,qamr
636,3,competitive,white,qamr
637,3,competitive,white,qamr
638,3,competitive,white,qamr
639,3,competitive,white,qamr
640,3,competitive,white,qamr
641,3,competitive,white,qamr
642,3,competitive,white,qamr
643,3,competitive,white,qamr
644,3,competitive,white,qamr
645,3,competitive,white,qamr
646,3,competitive,white,qamr
647,3,competitive,white,qamr
648,3,competitive,white,qamr
649,3,competitive,white,qamr
650,3,competitive,black,qamr
651,3,competitive,black,qamr
652,3,competitive,black,qamr
653,3,competitive,black,qamr
654,3,competitive,black,qamr
655,3,competitive,black,qamr
656,3,competitive,black,qamr
657,3,competitive,black,qamr
658,3,competitive,black,qamr
659,3,competitive,black,qamr
660,3,competitive,black,qamr
661,3,competitive,black,qamr
662,3,competitive,black,qamr
663,3,competitive,black,qamr
664,3,competitive,black,qamr
665,3,competitive,black,qamr
666,3,competitive,black,qamr
667,3,competitive,black,qamr
668,3,competitive,black,qamr
669,3,competitive,black,qamr
670,3,competitive,black,qamr
671,3,competitive,black,qamr
672,3,competitive,black,qamr
673,3,competitive,black,qamr
674,3,competitive,black,qamr
675,3,competitive,black,qamr
676,3,competitive,black,qamr
677,3,competitive,black,qamr
678,3,competitive,black,qamr
679,3,competitive,black,qamr
680,3,competitive,black,qamr
681,3,competitive,black,qamr
682,3,competitive,black,qamr
683,3,competitive,black,qamr
684,3,competitive,black,qamr
685,3,competitive,black,qamr
686,3,competitive,black,qamr
687,3,competitive,black,qamr
688,3,competitive,black,qamr
689,3,competitive,black,qamr
690,3,competitive,black,qamr
691,3,competitive,black,qamr
692,3,competitive,black,qamr
693,3,competitive,black,qamr
694,3,competitive,black,qamr
695,3,competitive,black,qamr
696,3,competitive,black,qamr
697,3,competitive,black,qamr
698,3,competitive,black,qamr
699,3,competitive,black,qamr
700,3,competitive,hispanic,qamr
701,3,competitive,hispanic,qamr
702,3,competitive,hispanic,qamr
703,3,competitive,hispanic,qamr
704,3,competitive,hispanic,qamr
705,3,competitive,hispanic,qamr
706,3,competitive,hispanic,qamr
707,3,competitive,hispanic,qamr
708,3,competitive,hispanic,qamr
709,3,competitive,hispanic,qamr
710,3,competitive,hispanic,qamr
711,3,competitive,hispanic,qamr
712,3,competitive,hispanic,qamr
713,3,competitive,hispanic,qamr
714,3,competitive,hispanic,qamr
715,3,competitive,hispanic,qamr
716,3,competitive,hispanic,qamr
717,3,competitive,hispanic,qamr
718,3,competitive,hispanic,qamr
719,3,competitive,hispanic,qamr
720,3,competitive,hispanic,qamr
721,3,competitive,hispanic,qamr
722,3,competitive,hispanic,qamr
723,3,competitive,hispanic,qamr
724,3,competitive,hispanic,qamr
725,3,competitive,hispanic,qamr
726,3,competitive,hispanic,qamr
727,3,competitive,hispanic,qamr
728,3,competitive,hispanic,qamr
729,3,competitive,hispanic,qamr
730,3,competitive,hispanic,qamr
731,3,competitive,hispanic,qamr
732,3,competitive,hispanic,qamr
733,3,competitive,hispanic,qamr
734,3,competitive,hispanic,qamr
735,3,competitive,hispanic,qamr
736,3,competitive,hispanic,qamr
737,3,competitive,hispanic,qamr
738,3,competitive,hispanic,qamr
739,3,competitive,hispanic,qamr
740,3,competitive,hispanic,qamr
741,3,competitive,hispanic,qamr
742,3,competitive,hispanic,qamr
743,3,competitive,hispanic,qamr
744,3,competitive,hispanic,qamr
745,3,competitive,hispanic,qamr
746,3,competitive,hispanic,qamr
747,3,competitive,hispanic,qamr
748,3,competitive,hispanic,qamr
749,3,competitive,hispanic,qamr
750,3,competitive,asian,qamr
751,3,competitive,asian,qamr
752,3,competitive,asian,qamr
753,3,competitive,asian,qamr
754,3,competitive,asian,qamr
755,3,competitive,asian,qamr
756,3,competitive,asian,qamr
757,3,competitive,asian,qamr
758,3,competitive,asian,qamr
759,3,competitive,asian,qamr
760,3,competitive,asian,qamr
761,3,competitive,asian,qamr
762,3,competitive,asian,qamr
763,3,competitive,asian,qamr
764,3,competitive,asian,qamr
765,3,competitive,asian,qamr
766,3,competitive,asian,qamr
767,3,competitive,asian,qamr
768,3,competitive,asian,qamr
769,3,competitive,asian,qamr
770,3,competitive,asian,qamr
771,3,competitive,asian,qamr
772,3,competitive,asian,qamr
773,3,competitive,asian,qamr
774,3,competitive,asian,qamr
775,3,competitive,asian,qamr
776,3,competitive,asian,qamr
777,3,competitive,asian,qamr
778,3,competitive,asian,qamr
779,3,competitive,asian,qamr
780,3,competitive,asian,qamr
781,3,competitive,asian,qamr
782,3,competitive,asian,qamr
783,3,competitive,asian,qamr
784,3,competitive,asian,qamr
785,3,competitive,asian,qamr
786,3,competitive,asian,qamr
787,3,competitive,asian,qamr
788,3,competitive,asian,qamr
789,3,competitive,asian,qamr
790,3,competitive,asian,qamr
791,3,competitive,asian,qamr
792,3,competitive,asian,qamr
793,3,competitive,asian,qamr
794,3,competitive,asian,qamr
795,3,competitive,asian,qamr
796,3,competitive,asian,qamr
797,3,competitive,asian,qamr
798,3,competitive,asian,qamr
799,3,competitive,asian,qamr
800,4,Detective Sergeant,white,qamr
801,4,Detective Sergeant,white,qamr
802,4,Detective Sergeant,white,qamr
803,4,Detective Sergeant,white,qamr
804,4,Detective Sergeant,white,qamr
805,4,Detective Sergeant,white,qamr
806,4,Detective Sergeant,white,qamr
807,4,Detective Sergeant,white,qamr
808,4,Detective Sergeant,white,qamr
809,4,Detective Sergeant,white,qamr
810,4,Detective Sergeant,white,qamr
811,4,Detective Sergeant,white,qamr
812,4,Detective Sergeant,white,qamr
813,4,Detective Sergeant,white,qamr
814,4,Detective Sergeant,white,qamr
815,4,Detective Sergeant,white,qamr
816,4,Detective Sergeant,white,qamr
817,4,Detective Sergeant,white,qamr
818,4,Detective Sergeant,white,qamr
819,4,Detective Sergeant,white,qamr
820,4,Detective Sergeant,white,qamr
821,4,Detective Sergeant,white,qamr
822,4,Detective Sergeant,white,qamr
823,4,Detective Sergeant,white,qamr
824,4,Detective Sergeant,white,qamr
825,4,Detective Sergeant,white,qamr
826,4,Detective Sergeant,white,qamr
827,4,Detective Sergeant,white,qamr
828,4,Detective Sergeant,white,qamr
829,4,Detective Sergeant,white,qamr
830,4,Detective Sergeant,white,qamr
831,4,Detective Sergeant,white,qamr
832,4,Detective Sergeant,white,qamr
833,4,Detective Sergeant,white,qamr
834,4,Detective Sergeant,white,qamr
835,4,Detective Sergeant,white,qamr
836,4,Detective Sergeant,white,qamr
837,4,Detective Sergeant,white,qamr
838,4,Detective Sergeant,white,qamr
